 'tryton/binutils/2.34' load complete.
 'tryton/compiler/gcc/7.4' load complete.
 'tryton/python3/3.5.6' load complete.

Loading tryton/python3/3.5.6
  Loading requirement: tryton/binutils/2.34 tryton/compiler/gcc/7.4
iter.      J_T    ∫gₐ(t)dt          J       ΔJ_T         ΔJ  secs
195   1.00e+00    2.03e-10   1.00e+00  -4.08e-10  -2.05e-10    13
196   1.00e+00    2.06e-10   1.00e+00  -4.14e-10  -2.07e-10    12
197   1.00e+00    2.09e-10   1.00e+00  -4.19e-10  -2.10e-10    13
198   1.00e+00    2.12e-10   1.00e+00  -4.25e-10  -2.13e-10    12
199   1.00e+00    2.15e-10   1.00e+00  -4.30e-10  -2.16e-10    13
200   1.00e+00    2.17e-10   1.00e+00  -4.36e-10  -2.19e-10    12
201   1.00e+00    2.20e-10   1.00e+00  -4.42e-10  -2.22e-10    13
202   1.00e+00    2.23e-10   1.00e+00  -4.48e-10  -2.25e-10    12
203   1.00e+00    2.26e-10   1.00e+00  -4.54e-10  -2.28e-10    13
204   1.00e+00    2.29e-10   1.00e+00  -4.60e-10  -2.31e-10    12
205   1.00e+00    2.32e-10   1.00e+00  -4.66e-10  -2.34e-10    13
206   1.00e+00    2.35e-10   1.00e+00  -4.72e-10  -2.37e-10    12
207   1.00e+00    2.38e-10   1.00e+00  -4.78e-10  -2.40e-10    13
208   1.00e+00    2.42e-10   1.00e+00  -4.85e-10  -2.43e-10    13
209   1.00e+00    2.45e-10   1.00e+00  -4.91e-10  -2.46e-10    13
210   1.00e+00    2.48e-10   1.00e+00  -4.98e-10  -2.50e-10    12
211   1.00e+00    2.51e-10   1.00e+00  -5.04e-10  -2.53e-10    13
212   1.00e+00    2.55e-10   1.00e+00  -5.11e-10  -2.56e-10    12
213   1.00e+00    2.58e-10   1.00e+00  -5.18e-10  -2.60e-10    13
214   1.00e+00    2.62e-10   1.00e+00  -5.25e-10  -2.63e-10    12
215   1.00e+00    2.65e-10   1.00e+00  -5.32e-10  -2.67e-10    13
216   1.00e+00    2.69e-10   1.00e+00  -5.39e-10  -2.70e-10    12
217   1.00e+00    2.72e-10   1.00e+00  -5.46e-10  -2.74e-10    13
218   1.00e+00    2.76e-10   1.00e+00  -5.53e-10  -2.77e-10    12
219   1.00e+00    2.79e-10   1.00e+00  -5.61e-10  -2.81e-10    13
220   1.00e+00    2.83e-10   1.00e+00  -5.68e-10  -2.85e-10    12
221   1.00e+00    2.87e-10   1.00e+00  -5.76e-10  -2.89e-10    13
222   1.00e+00    2.91e-10   1.00e+00  -5.83e-10  -2.93e-10    12
223   1.00e+00    2.95e-10   1.00e+00  -5.91e-10  -2.96e-10    13
